time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
11/26/2023 0:00,26.7,23,80,0,,24,7.4,,1013,,3
11/26/2023 1:00,26.6,23.1,81,0,,21,5.5,,1012.4,,3
11/26/2023 2:00,26.4,23.1,82,0,,17,5.5,,1011.8,,3
11/26/2023 3:00,26.4,23.1,82,0,,14,5.5,,1011.6,,3
11/26/2023 4:00,26.3,23,82,0,,10,5.5,,1011.5,,3
11/26/2023 5:00,26.3,23,82,0,,6,5.5,,1011.3,,3
11/26/2023 6:00,26.6,23.1,81,0,,1,5.5,,1012.2,,3
11/26/2023 7:00,27.1,22.9,78,0,,2,5.5,,1012.7,,3
11/26/2023 8:00,27.6,23,76,0,,2,7.4,,1013.1,,3
11/26/2023 9:00,28.4,23.1,73,0,,357,7.4,,1012.9,,3
11/26/2023 10:00,29.2,22.9,69,0,,349,9.3,,1012.6,,3
11/26/2023 11:00,30.1,22.8,65,0.2,,339,9.3,,1012.4,,3
11/26/2023 12:00,30.1,23,66,0,,332,9.3,,1011.3,,3
11/26/2023 13:00,30.4,23.3,66,0,,350,9.3,,1010.5,,3
11/26/2023 14:00,30.6,23.5,66,0,,18,9.3,,1009.7,,3
11/26/2023 15:00,30.3,23.5,67,0,,30,9.3,,1009.8,,3
11/26/2023 16:00,29.9,23.4,68,0,,34,9.3,,1009.9,,3
11/26/2023 17:00,29.5,23.5,70,0,,37,9.3,,1010,,3
11/26/2023 18:00,28.7,23.4,73,0,,32,9.3,,1010.5,,3
11/26/2023 19:00,28.2,23.1,74,0,,33,7.4,,1011.1,,3
11/26/2023 20:00,27.8,23.2,76,0,,34,5.5,,1011.6,,3
11/26/2023 21:00,27.6,23.2,77,0,,29,5.5,,1011.7,,3
11/26/2023 22:00,27.3,23.1,78,0,,23,5.5,,1011.8,,3
11/26/2023 23:00,27.1,23.4,80,0,,14,5.5,,1011.8,,3
11/27/2023 0:00,26.6,23.3,82,0,,13,5.5,,1011.3,,3
11/27/2023 1:00,26.4,23.3,83,0,,10,5.5,,1010.8,,3
11/27/2023 2:00,26.2,23.5,85,0,,8,5.5,,1010.4,,3
11/27/2023 3:00,26.1,23.4,85,0,,7,5.5,,1010.4,,3
11/27/2023 4:00,26,23.3,85,0,,6,5.5,,1010.4,,3
11/27/2023 5:00,25.9,23.4,86,0,,5,5.5,,1010.4,,3
11/27/2023 6:00,25.8,23.5,87,0,,4,5.5,,1011.2,,3
11/27/2023 7:00,26.4,23.5,84,0,,5,5.5,,1011.8,,3
11/27/2023 8:00,27,23.3,80,0,,5,7.4,,1012.3,,3
11/27/2023 9:00,27.9,23.3,76,0,,335,7.4,,1012.1,,3
11/27/2023 10:00,28.7,23.4,73,0,,304,9.3,,1012,,3
11/27/2023 11:00,29.5,23.5,70,0.2,,283,11.1,,1011.8,,3
11/27/2023 12:00,29.8,23.5,69,0.3,,278,9.3,,1011,,3
11/27/2023 13:00,30.2,23.9,69,0.3,,266,9.3,,1010.1,,3
11/27/2023 14:00,30.5,24.4,70,0.3,,255,9.3,,1009.2,,3
11/27/2023 15:00,30.3,24.2,70,0.2,,275,9.3,,1009.2,,3
11/27/2023 16:00,30,24.2,71,0.2,,330,9.3,,1009.3,,3
11/27/2023 17:00,29.8,24,71,0,,13,7.4,,1009.3,,3
11/27/2023 18:00,29.6,24,72,0,,40,7.4,,1009.8,,3
11/27/2023 19:00,29,23.7,73,0,,52,7.4,,1010.5,,3
11/27/2023 20:00,28.4,23.3,74,0,,58,7.4,,1011.1,,3
11/27/2023 21:00,28.1,23.5,76,0,,55,5.5,,1011.4,,3
11/27/2023 22:00,27.9,23.7,78,0,,52,5.5,,1011.6,,3
11/27/2023 23:00,27.6,23.6,79,0,,48,5.5,,1011.8,,3
11/28/2023 0:00,27.3,23.8,81,0,,45,5.5,,1011.4,,3
11/28/2023 1:00,27.1,23.8,82,0,,43,5.5,,1010.9,,3
11/28/2023 2:00,26.9,23.8,83,0,,42,5.5,,1010.4,,3
11/28/2023 3:00,26.7,23.8,84,0,,36,5.5,,1010.5,,3
11/28/2023 4:00,26.6,23.7,84,0,,28,3.7,,1010.6,,3
